"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARPC2",0,0.681549203698157,0.904,0.8,0
"RNF181",0,0.533774532420712,0.53,0.295,0
"DHRS9",0,0.885436604812976,0.156,0.03,0
"COBLL1",0,1.44275789545039,0.247,0.06,0
"NAGK",0,0.541843854431852,0.501,0.293,0
"PDIA6",0,1.16266741458939,0.66,0.428,0
"RPL37A",0,0.996370521593186,0.92,0.852,0
"KYNU",0,1.32928282818157,0.49,0.242,0
"MERTK",0,1.65769457662916,0.277,0.066,0
"PID1",0,1.87131995725406,0.346,0.114,0
"UBE2E2",0,0.782552800173472,0.624,0.373,0
"GNAI2",0,0.686467077939225,0.802,0.621,0
"ALCAM",0,0.878310008591515,0.444,0.198,0
"MANF",0,0.919737464101217,0.45,0.253,0
"MRAS",0,0.32573063469122,0.142,0.031,0
"NDUFB4",0,0.770004464309993,0.638,0.41,0
"RPL22L1",0,0.626164637536629,0.592,0.363,0
"ATP1B3",0,0.876406721625663,0.568,0.262,0
"SERP1",0,1.1657890370175,0.795,0.603,0
"CHST2",0,0.616227819776953,0.33,0.116,0
"CD96",0,-1.08332953397606,0.282,0.588,0
"RPN1",0,0.538609622642328,0.537,0.324,0
"BRK1",0,0.533609626348748,0.697,0.482,0
"PTX3",0,1.59958351466106,0.18,0.023,0
"RPL15",0,0.943010295433393,0.905,0.839,0
"TMEM45A",0,0.373728172460869,0.117,0.007,0
"GNB4",0,0.599435246982076,0.409,0.17,0
"SSR3",0,1.41003183655426,0.602,0.352,0
"RPL29",0,1.0189811403191,0.903,0.819,0
"ST6GAL1",0,2.18579855090377,0.584,0.393,0
"RPL32",0,0.90573566607809,0.923,0.882,0
"COX17",0,0.696312042787026,0.602,0.399,0
"IL5RA",0,0.466411938795042,0.102,0.013,0
"RHOA",0,0.571097486233916,0.823,0.696,0
"TMA7",0,0.600012870914933,0.849,0.715,0
"EAF2",0,0.302670768142415,0.314,0.137,0
"CDV3",0,0.529691651858648,0.659,0.45,0
"SELENOK",0,1.31046592330935,0.613,0.404,0
"TKT",0,0.553425761469703,0.59,0.359,0
"SEC62",0,0.842889198418195,0.763,0.574,0
"CD86",0,0.485462022429011,0.278,0.102,0
"CSTA",0,0.719890430332949,0.319,0.122,0
"RPL35A",0,1.06345557900302,0.911,0.824,0
"RPL14",0,0.711635184398267,0.894,0.811,0
"RPSA",0,0.799036034123003,0.852,0.711,0
"SEC61A1",0,0.545225032464321,0.466,0.261,0
"SPCS1",0,0.977813853156769,0.627,0.441,0
"MUC20",0,1.58083941844411,0.15,0.023,0
"H1-10",0,1.12735661477134,0.545,0.307,0
"ACP3",0,0.555298117650786,0.255,0.069,0
"RPL24",0,0.994596849657557,0.895,0.779,0
"IQSEC1",0,0.496358207719445,0.539,0.328,0
"RBM47",0,0.862088880010343,0.587,0.388,0
"TNIP3",0,2.07116839660071,0.272,0.053,0
"FAM13A",0,1.50515856286653,0.384,0.186,0
"RPS3A",0,1.08403890892072,0.92,0.852,0
"IL15",0,0.569552092581182,0.303,0.12,0
"SPCS3",0,0.926915794424967,0.677,0.48,0
"SAP30",0,0.396236597115615,0.245,0.075,0
"NDUFC1",0,0.613180759207483,0.525,0.32,0
"ANXA5",0,1.06397491405496,0.643,0.403,0
"JCHAIN",0,2.63862512965399,0.297,0.09,0
"CCNI",0,0.58895361050506,0.845,0.684,0
"RPL9",0,0.874664132604717,0.91,0.832,0
"TMEM165",0,0.67250588570011,0.724,0.527,0
"ELOVL6",0,-1.04243419002693,0.143,0.356,0
"RPL34",0,0.926778630751769,0.931,0.877,0
"SLC39A8",0,1.60150931738077,0.448,0.237,0
"AFF1",0,0.996774994201074,0.74,0.566,0
"SGMS2",0,0.951708379655213,0.267,0.063,0
"C4orf48",0,0.774750047802546,0.506,0.244,0
"C4orf3",0,0.817220982305837,0.744,0.511,0
"SPINK2",0,-0.599029606632647,0.083,0.295,0
